Ticker and Top 10 Smallest DTW Values
"MMM: FE (39.123743000000005), MO (39.59057899999998), CPB (45.47594800000001), DD (46.144327), IP (49.03760599999984), C (49.56037100000007), MTB (49.89352700000007), PNW (50.081526), LVS (50.14654700000003), CTSH (50.20816500000011)"
"MO: CPB (39.03489499999999), MMM (39.59057899999998), DD (44.61803799999999), K (46.15252900000008), CTSH (46.98225300000008), PPL (49.077585999999954), REG (49.821497999999885), HST (52.81991799999999), CAG (53.27646300000018), IFF (58.13319799999999)"
"AMZN: MSCI (23.992344999999997), INTU (24.217080000000006), EPAM (28.183061999999985), ISRG (28.462008999999934), KEYS (28.76166700000004), POOL (29.407742), WST (29.570705999999987), MSFT (29.855538000000003), ADBE (30.669893), LRCX (31.978613999999997)"
"AMCR: L (32.49548900000019), HSIC (37.856404000000005), KMB (38.90827699999994), BK (39.9447669999999), PRU (41.86527900000001), D (44.08198200000007), RTX (45.14429700000012), PM (45.71965999999996), SJM (46.03909599999996), CHRW (48.36362600000008)"
"AEE: XEL (21.300909999999995), ATO (24.62579399999997), LNT (24.902014999999917), ROP (25.88272299999995), ARE (26.10420499999992), CCI (26.966433999999957), CMS (27.27342100000003), WEC (28.024116999999983), MKC (28.047948999999942), ICE (29.11105799999999)"
"AAL: EQT (56.77539800000009), CCL (57.61998799999997), OXY (60.11822799999999), NCLH (60.59254399999995), APA (63.79013999999992), SLB (65.49608899999981), HAL (67.31793900000002), GE (87.77999799999989), UAL (96.53879199999994), TAP (101.1494120000001)"
"AEP: CMS (20.14775999999998), ETR (24.254385999999972), LNT (27.812145999999977), ATO (28.048653999999956), PEG (30.647705999999957), DTE (30.97554400000004), EVRG (31.67063700000004), ED (32.262417000000006), GL (32.94106199999995), MDLZ (33.31955200000006)"
"AXP: UNP (21.885279999999973), HLT (24.409051999999942), EXC (26.104239000000007), TEL (26.683397999999965), NSC (27.17422700000004), AES (27.96904499999999), CPT (28.462501999999976), AME (28.72277899999999), CE (30.78745299999997), ZION (31.382764)"
"AIG: KIM (35.55891999999986), REG (50.02569699999995), HSIC (56.829408000000015), WFC (57.806765000000105), CVS (60.0844529999999), BEN (62.172203999999866), XRAY (62.272979000000056), IBM (63.14174399999989), MO (64.57734499999997), WAB (67.18459199999992)"
"AMT: SBAC (23.021718000000025), VRSK (24.867518000000008), EQIX (25.89666399999998), AWK (26.41351000000005), V (26.97738499999999), FAST (27.41668600000002), DG (28.011538000000023), CCI (28.431587999999994), ABT (29.041677000000025), EXR (29.18515299999993)"
"AWK: NEE (18.73075699999998), EQIX (21.555306999999985), V (22.518610000000013), SHW (23.17347199999999), MCO (23.301118000000017), STE (24.16522000000003), WM (24.61036500000001), FAST (24.80236500000001), LOW (24.822494000000027), TMUS (25.50958300000002)"
"AMP: MS (20.982483), TSCO (27.34627299999996), LOW (29.26181800000002), PH (31.39563100000007), STX (32.699944999999985), RJF (32.79169800000003), SHW (32.96654100000002), ORCL (33.48329100000002), ADI (33.933196000000045), FAST (34.537189000000005)"
"AME: APH (20.37687000000001), PAYX (20.76646799999998), HLT (21.391180999999985), MLM (23.490227000000036), CPT (24.03600199999999), EXPD (24.33260800000001), UNP (24.740692999999983), FDS (24.786030999999983), VRSK (25.173777999999967), TROW (25.396688000000022)"
"AMGN: AEP (35.76281399999999), NI (37.25995399999993), MNST (37.817634999999946), CB (38.00997500000007), SRE (39.17374800000003), PEG (39.480861), ED (39.60185999999997), SO (39.96581499999996), PFE (40.05960000000001), CHRW (41.13356400000002)"
"APH: ROK (18.94481600000001), PAYX (19.40831199999998), ADP (20.061073999999977), AME (20.37687000000001), ITW (20.78046), WAT (21.516977999999977), RJF (22.445193), TROW (22.774385999999968), AON (22.94557899999999), ADI (23.14348599999995)"
"ADI: IQV (19.31746400000001), AON (21.148347), MMC (22.13856100000001), HD (22.552331), SHW (23.08754399999999), APH (23.14348599999995), TMUS (23.178160999999974), DOV (23.61964599999997), PAYX (24.233414999999976), ADP (24.65791299999996)"
"ANSS: CHTR (21.530428), NDAQ (23.832457), MCO (24.043118000000028), NEE (24.217613), MA (24.34250499999999), A (24.85389200000003), TMUS (25.37594999999997), CSGP (25.506568999999985), ACN (27.50434399999997), TYL (27.81738799999996)"
"AON: WM (16.445715000000003), PAYX (19.624961999999943), ADP (20.346525000000003), ADI (21.148347), WRB (22.038197999999998), DOV (22.133807000000004), IQV (22.23687400000003), SHW (22.51904299999995), APH (22.94557899999999), STE (23.04307100000001)"
"APA: EQT (51.708135999999925), SLB (59.455235), OXY (59.55921099999996), HAL (59.62456199999992), AAL (63.79013999999992), BKR (71.79830100000004), GE (79.92427899999998), TAP (93.12184399999995), MRO (93.80705400000008), UAL (94.67519400000012)"
"AAPL: WST (20.915847999999983), INTU (22.099345000000017), POOL (23.83116299999997), BX (24.972320999999923), MSFT (25.38751000000001), KEYS (27.56064900000001), AMAT (28.05844999999996), CRL (28.147617000000007), ZBRA (28.37834100000001), ODFL (29.278620000000025)"
"AMAT: LRCX (21.15420800000002), FTNT (23.63293000000004), POOL (25.68755999999996), ZBRA (27.18055100000007), NOW (27.992310000000007), AAPL (28.05844999999996), MPWR (28.665589999999973), PODD (28.743918000000026), MSCI (29.203710000000036), IDXX (29.57702200000001)"
"APTV: TEL (26.142323000000022), JBHT (27.33335200000004), NXPI (28.20010399999997), GS (30.05728699999997), BLK (30.061316), JCI (30.15384000000002), COF (31.575825000000037), LH (33.56902399999999), SWKS (34.754692000000055), SCHW (36.47665599999997)"
"ACGL: HUBB (29.304502999999983), GWW (38.941968), ORLY (40.48193899999997), MPC (43.20177800000001), PHM (44.940166000000055), AZO (46.44887499999996), HSY (50.897665999999965), CVX (52.00121400000018), ORCL (52.25476099999998), HES (53.28946599999996)"
"ADM: PCAR (26.620075999999948), SRE (28.416215999999924), MRK (30.873638999999947), IRM (31.046890000000044), COP (31.39715699999994), COR (31.67614800000003), WMT (33.426332000000066), LEN (35.896721999999954), EXC (36.41834899999999), GPC (36.63461199999996)"
"ANET: SNPS (23.91444100000002), AVGO (26.556167000000013), KLAC (27.45214999999995), CDNS (28.564150000000005), CPRT (33.731943), AXON (43.59856000000001), ODFL (44.353939), FICO (44.93068800000001), FTNT (44.97558700000002), PWR (45.30420399999998)"
"AJG: PGR (18.321196999999984), ETN (26.86002700000009), PANW (27.258820000000007), AVGO (28.032139999999945), MSI (28.700266000000056), CTAS (28.72421999999998), TDG (29.108369), PWR (32.55060400000003), SNPS (33.45881100000004), KLAC (34.862929000000065)"
"AIZ: MCD (20.129783999999937), SYK (23.843640000000008), WM (23.97245899999996), ADP (24.194550999999983), CINF (24.68790399999999), ITW (25.544141999999944), AON (26.51347699999999), PAYX (27.256112000000037), WRB (30.589918), VMC (30.60643500000001)"
"T: K (45.99901399999995), PNW (47.85574299999988), PPL (48.64125699999988), D (49.93133400000004), CAG (51.76915899999993), UHS (54.85237599999997), MMM (55.2781920000001), CPB (58.13009799999992), ZBH (61.59145799999998), EIX (61.619482000000055)"
"ATO: CMS (23.36178600000004), AEE (24.62579399999997), WEC (28.001361999999983), AEP (28.048653999999956), WMT (30.57258699999989), NI (30.818923000000023), MDLZ (31.294295), LNT (31.775252999999918), XEL (31.892835999999956), EVRG (33.25556599999995)"
"ADSK: ZTS (26.732210000000016), KEYS (26.78093399999995), CDW (26.924088000000012), BIO (27.092721), GRMN (27.46140000000001), ISRG (28.52041999999999), CRL (28.739310999999944), TECH (29.35459499999996), ADBE (30.976054999999945), INTU (30.976440999999987)"
"ADP: WM (17.55044600000001), APH (20.061073999999977), AON (20.346525000000003), PAYX (21.127180000000024), LIN (21.572332999999997), MMC (22.402825999999997), J (22.725619000000023), WRB (22.88438700000001), FAST (23.18098700000003), ITW (23.215378000000005)"
"AZO: ORLY (14.746157000000023), HCA (24.438141999999992), LIN (25.22663299999995), ORCL (27.431763999999923), ABBV (28.42360799999997), WRB (31.89666399999998), MMC (32.189683), RJF (32.91451500000001), ADI (33.996109999999966), RSG (34.133156)"
"AVB: EQR (18.04979699999997), KO (24.93273000000006), ESS (25.503082999999947), DUK (29.111969000000084), MDT (32.94723000000002), UDR (34.958354999999926), WY (35.88751000000005), USB (37.026643999999976), WELL (38.45420599999999), PM (38.86947700000009)"
"AVY: NDAQ (20.762298999999977), IQV (22.571157999999983), HD (23.09791800000002), NKE (23.132503999999955), GOOGL (23.767888000000013), GOOG (24.025681999999968), ACN (24.887953), META (24.97780900000001), NVR (25.08445900000001), MCO (25.170510999999987)"
"AXON: GNRC (32.884032999999974), ODFL (33.36622500000004), KLAC (33.62058499999994), DXCM (35.66214099999999), FTNT (36.83847500000006), EPAM (36.97609), MPWR (37.74228199999998), MTCH (37.912318), AMAT (39.84954500000003), MSFT (40.17607299999998)"
"BKR: BEN (52.84084999999996), SLB (55.60044100000011), IVZ (57.05857600000008), WBA (58.993873999999735), HAL (69.33248799999983), OXY (71.73324900000013), APA (71.79830100000004), BWA (73.33054200000001), SPG (76.36696099999998), EQT (80.24333499999993)"
"BALL: CSCO (26.81160599999997), BAX (28.20784900000007), ARE (29.48347000000001), CCI (29.66108000000004), COO (29.739621999999976), YUM (30.491274000000043), CHD (32.20443600000005), APD (34.17050699999999), HON (34.26036400000003), EXPD (34.40798100000003)"
"BAC: IEX (26.826423999999992), ABT (27.774522999999995), CSX (28.379306999999923), NSC (28.65673599999996), CE (29.803076999999977), PAYX (30.046122000000043), JPM (30.11528299999997), DOV (30.301704999999995), HLT (31.47091699999999), UNP (31.59325999999994)"
"BK: USB (33.28424600000009), PRU (36.00773900000001), ESS (39.007486000000014), RTX (39.12757499999995), L (39.19663299999996), CTSH (39.65931599999998), AMCR (39.9447669999999), MTB (40.93621099999996), SJM (41.22082300000005), WY (41.51607399999995)"
"BBWI: DVN (65.78488999999995), MRO (75.39999800000005), SEE (76.227678), AIG (81.05668700000003), TRGP (86.87074500000006), TPR (90.4597089999997), MHK (92.68126199999983), BG (97.53782399999972), KIM (100.223058), IVZ (101.34550400000003)"
"BAX: BALL (28.20784900000007), MKC (33.18191500000001), LNT (33.593256999999866), XEL (34.076056), WEC (35.77053100000002), CHD (36.18813799999992), ARE (36.23265400000004), ES (36.281598999999815), CSCO (37.61359900000004), COO (37.652274000000006)"
"BDX: ETR (31.830171999999965), ECL (33.06698999999998), WTW (33.54974700000002), JNJ (34.16771000000001), CMS (35.16123299999995), WEC (35.209024999999954), PEG (35.71648499999992), XEL (37.39758900000013), ES (37.99203999999988), PG (38.36886700000009)"
"BRK-B: EXC (20.437176999999988), CB (21.22151400000001), XEL (25.40718699999996), DGX (26.290099), CMS (26.633361000000104), LNT (26.870186999999973), PFE (28.162023000000023), WTW (29.61090799999998), WEC (30.924832999999943), LH (31.65186500000004)"
"BBY: MCHP (26.904957999999983), RSG (30.58257899999997), NVR (30.59077399999996), LIN (31.746640000000045), GRMN (32.43960999999998), ACN (32.595756), SHW (32.70341599999999), CRM (32.720056), ROL (33.195483), PLD (33.89892899999999)"
"BIO: TECH (17.80451700000002), CRL (18.153048000000005), RMD (21.89706600000003), TMO (22.07025900000003), DPZ (22.603098000000013), PLD (24.727336999999935), ZTS (24.93108999999996), DHR (24.98025899999999), ACN (25.759274999999946), GRMN (25.847508999999985)"
"TECH: BIO (17.80451700000002), KEYS (21.31240499999999), CRL (22.010375000000007), ZTS (22.26629899999997), BX (22.41403499999996), GOOG (23.946463999999967), DPZ (24.319001), ISRG (24.47056399999997), DHR (24.542673999999977), INTU (24.78504999999996)"
"BIIB: WBA (79.28760900000002), GILD (80.38542900000007), WAB (86.55184400000006), OMC (88.42430200000018), CTRA (88.50938200000029), IBM (89.28327899999987), RL (92.65885400000003), WDC (98.9085119999997), BMY (100.05827999999993), INCY (101.3671169999999)"
"BLK: TROW (19.99529399999998), ROK (22.122547000000047), APH (24.675604), ITW (25.499571999999976), EBAY (25.909616000000007), WAT (26.156116999999952), TEL (26.996588000000003), CPT (27.26922300000002), JBHT (28.399897000000017), J (28.670805000000065)"
"BX: KEYS (21.929948), CRL (22.21702999999997), TECH (22.41403499999996), ZTS (24.40918900000001), TT (24.494107999999983), MOH (24.581288000000008), AAPL (24.972320999999923), DE (25.354592000000007), BIO (26.13550800000004), INTU (26.18201600000001)"
"BA: VRTX (81.52795199999994), WYNN (86.5228249999997), OKE (90.13546400000004), ORCL (91.23431099999996), GPN (99.56962500000007), CMA (108.9285669999998), MKTX (115.0295470000002), CINF (117.9373329999999), VLO (119.6459100000001), EOG (122.73198300000006)"
"BKNG: EXC (29.506589999999992), CB (31.604157999999995), BRK-B (33.00526099999995), LMT (33.973105999999994), MAR (34.14782800000003), PKG (35.1712570000001), CI (36.53606400000003), CBOE (37.75375400000004), PFE (38.21972599999999), AOS (38.33886900000003)"
"BWA: BEN (41.33865299999998), HST (58.04129899999996), RL (69.17244400000017), IVZ (69.29548400000006), WAB (70.58994500000021), IP (72.25317900000017), BKR (73.33054200000001), CTSH (76.90655799999983), TPR (80.83293100000033), DD (82.73184399999975)"
"BXP: FRT (38.71993100000002), UHS (49.83442700000007), PPL (51.46067800000005), WFC (61.84485799999996), XRAY (65.73167299999997), VTR (67.9270100000001), HST (67.99092899999988), CL (69.46679600000009), CPB (69.55935200000006), IFF (69.73805799999977)"
"BSX: CME (32.44691299999994), VRSK (34.796193000000045), LMT (35.28168800000004), HUM (36.125806999999966), SRE (36.93491299999999), CINF (39.15525100000001), CNC (39.26682400000012), AEE (39.33248999999999), ROP (41.22857199999999), ATO (41.289383999999934)"
"BMY: OMC (44.81690799999999), JNPR (51.24810100000008), SJM (54.80275599999984), LYB (58.30693000000001), IBM (58.59760600000003), WAB (61.33267100000006), WY (61.469728999999845), PM (62.4222210000001), SEE (64.04499100000001), IP (65.19870900000006)"
"AVGO: SNPS (15.46206900000001), CDNS (20.794992), ON (23.58234), KLAC (23.822752000000023), ANET (26.556167000000013), LLY (26.83346300000001), PWR (26.85542499999994), ODFL (27.540427), AJG (28.032139999999945), CPRT (28.70069899999997)"
"BR: RSG (22.44711899999998), ADP (25.61396499999998), IQV (25.649903000000005), AON (26.270809000000064), WM (26.389609000000004), STE (26.392722000000056), ITW (26.53035500000006), XYL (27.01277199999995), MCD (27.19724500000005), MMC (27.205768999999943)"
"BRO: PLD (15.578072999999998), COST (16.95823599999998), NDAQ (18.33783199999999), ACN (18.852847000000004), ZTS (19.661548999999944), UNH (19.920888000000023), RSG (20.164490999999995), EL (20.225337999999965), GOOGL (21.327959), TMO (21.490737000000014)"
"BF-B: JNJ (31.948467000000008), ECL (31.99203200000004), EVRG (32.579532), ES (34.112392999999976), O (34.139953999999975), ALLE (34.452401999999935), PFE (35.28433899999994), NI (35.988934000000064), LNT (36.27149499999997), BAX (37.910999999999966)"
"BG: PXD (32.86444000000002), KR (40.14221500000011), XOM (44.112829000000005), REGN (45.96990399999996), NWSA (47.493815), MET (48.00163199999995), SNA (50.15340800000005), DVA (50.41861600000001), GPC (51.16169899999988), CVX (52.27188300000002)"
"CDNS: SNPS (10.600597999999994), AVGO (20.794992), KLAC (23.134949000000013), CPRT (23.71178800000002), ANET (28.564150000000005), ODFL (31.01962699999997), PWR (31.60392899999999), ON (35.976906999999976), GNRC (39.21608799999993), MPWR (39.80252899999998)"
"CZR: ALGN (37.43654100000004), LRCX (41.35586800000002), MSCI (44.01314200000001), IDXX (44.082909), INTU (44.99011700000003), MTCH (45.58909499999998), POOL (48.12287699999992), CPRT (48.12771999999998), MSFT (48.60124399999995), GNRC (49.29231299999992)"
"CPT: MAA (22.61721899999997), EXPD (23.63050100000004), FDS (23.76374900000002), PAYX (23.951575), AME (24.03600199999999), ICE (25.794841000000037), BLK (27.26922300000002), CBRE (28.264643000000007), AXP (28.462501999999976), PNC (28.73006100000002)"
"CPB: MO (39.03489499999999), MMM (45.47594800000001), K (47.23313200000001), DD (48.08824799999999), EIX (49.33547900000011), HST (53.88001000000008), CAG (55.29787600000016), CTSH (57.815210000000064), T (58.13009799999992), SJM (62.40960199999997)"
"COF: DFS (21.124406), TEL (25.667009), GS (26.98186900000003), LH (27.424904000000016), PNR (28.860836999999997), JBHT (31.523963000000048), APTV (31.575825000000037), CMI (31.71338900000001), IPG (31.737591999999957), JCI (32.679002999999945)"
"CAH: CTRA (66.19198700000017), KMI (86.20056199999972), KR (88.71142100000003), XOM (89.23577600000007), PARA (90.7229199999999), BG (95.590864), MOS (107.02002000000006), COR (112.22414099999968), EOG (113.96710400000016), PXD (114.3401190000003)"
"KMX: SWKS (37.36971499999994), COF (39.48465300000005), NXPI (40.94412200000001), ILMN (41.82439500000005), EMR (42.60521499999995), GM (42.72307400000003), JCI (42.88372899999994), WMT (44.38134300000007), TEL (44.72102199999994), CMI (45.019321999999896)"
"CCL: AAL (57.61998799999997), OXY (79.32861399999986), HAL (80.299763), TAP (87.89131800000006), UAL (89.393158), GE (95.0249450000001), APA (96.0247709999998), SLB (99.9833419999998), NCLH (103.85413799999976), MHK (111.638193)"
"CTLT: TT (25.49968), SPGI (26.840199000000023), TECH (27.244605999999955), TGT (27.546268999999967), A (28.24511099999998), RMD (28.29081099999999), CRL (28.95669200000003), DHR (29.42096199999998), ZTS (29.585018999999985), TMO (30.026117000000035)"
"CAT: PH (28.82750999999996), MSI (32.436922000000024), UNH (32.90632999999999), HCA (33.05721499999998), CHTR (33.162551000000015), RJF (33.95294900000003), DHI (34.67051699999998), LIN (35.598379999999935), TT (35.914496000000035), ETN (36.66538900000004)"
"CBOE: LMT (34.68009799999996), TJX (35.866273), NOC (36.43889799999999), MAR (37.28765000000005), MRK (37.59203800000001), BKNG (37.75375400000004), WRB (38.50443300000008), AFL (38.83694699999997), CI (41.02368300000008), EXC (43.79336999999997)"
"CBRE: NKE (25.90386300000007), MLM (26.221155999999933), PAYX (26.949487000000005), CPT (28.264643000000007), AME (28.69053500000003), DOV (28.78953400000008), SCHW (29.48611999999997), J (29.715020000000045), FITB (29.84444600000004), APH (29.936197999999965)"
"CDW: ZTS (22.611964999999977), BRO (22.72832300000001), MSI (23.92970000000002), RMD (25.401475999999924), EW (25.806921999999982), KEYS (26.52461099999997), ADSK (26.924088000000012), TECH (27.124399999999984), INTU (27.51555500000003), GOOG (27.55642799999993)"
"CE: PNC (23.05409300000001), IEX (23.263064999999973), JPM (25.060216000000025), MAS (28.257257), BAC (29.803076999999977), CPT (30.27024699999994), VRSK (30.300207000000004), DGX (30.365701), AXP (30.78745299999997), KDP (31.97491200000007)"
"COR: ADM (31.67614800000003), KR (42.01907900000016), GPC (43.12488600000013), MRK (45.32162500000006), F (46.01650600000003), SRE (50.84088599999983), PCAR (52.18882200000003), CI (55.05001099999996), MCK (55.69891500000004), GIS (56.97026800000001)"
"CNC: YUM (31.10146000000004), SRE (37.95400800000009), DGX (39.09012100000002), BSX (39.26682400000012), SYK (40.27704899999999), CINF (41.33991299999991), EXC (41.44758899999989), MAR (41.95076899999999), CSCO (42.35157799999999), ZION (43.065323000000056)"
"CNP: PEG (31.899267999999967), GL (32.57564999999997), GD (35.55813999999992), DUK (35.59216900000003), RTX (36.98586499999999), KO (39.396027000000096), ED (41.69972400000013), TFC (41.73174500000008), ALL (42.415183000000006), HAS (43.24200400000004)"
"CF: COP (29.01365400000008), HES (34.905450999999985), FCX (49.20080599999999), MPC (51.37576199999987), MOS (51.70964699999993), ADM (54.977324), ETN (55.15973599999997), MCK (56.10470100000005), HUBB (56.494397000000006), AMP (57.968546)"
"CHRW: TRV (32.72452699999999), GD (34.327554000000056), L (34.440277999999914), HIG (36.50509399999999), PEG (37.104862), STZ (37.37156500000005), PPG (37.48607200000007), MDT (37.533846999999966), KO (37.57244699999995), DUK (37.80106000000005)"
"CRL: BIO (18.153048000000005), ZTS (20.68157300000002), TECH (22.010375000000007), BX (22.21702999999997), INTU (22.44513600000001), KEYS (22.73526500000001), TT (23.28780199999999), MKTX (24.18253800000007), RMD (24.40619099999996), GRMN (24.663392000000005)"
"SCHW: HPQ (24.99552200000001), FITB (25.137092000000013), RJF (28.00181399999996), CBRE (29.48611999999997), ROK (32.100761000000084), ITW (32.53152100000002), GEN (32.733127), APH (32.75078699999997), BLK (32.98970600000002), EXR (33.45216600000002)"
"CHTR: ANSS (21.530428), TMUS (23.127749000000023), NDAQ (23.37746399999995), MCO (23.522038999999985), NVR (24.181912000000032), HD (24.341086000000004), TYL (24.413909999999984), A (26.57174399999997), SHW (26.879521999999994), SPGI (28.08265600000001)"
"CVX: PFG (27.573536000000008), GPC (31.42684099999997), AFL (33.11423899999994), HSY (33.99712800000009), EG (34.01235999999997), PSA (37.266554999999975), BRK-B (39.452686000000014), JBHT (41.34043800000001), TJX (41.97461700000004), PKG (42.21460800000001)"
"CMG: NEM (39.43706199999996), AMP (39.84017699999998), TSCO (40.045383000000015), GRMN (40.91786000000005), AZO (41.26034299999998), CSGP (42.54365499999992), TT (43.699394000000034), PH (45.99610900000005), ETN (46.20645599999997), RMD (46.236092000000006)"
"CB: BRK-B (21.22151400000001), PFE (27.132853000000043), EXC (27.665163999999997), LH (29.36142000000001), PEP (29.966129000000056), MDLZ (30.71895000000009), BKNG (31.604157999999995), DGX (32.200488999999976), VMC (33.01613099999999), MET (33.70605699999998)"
"CHD: PG (22.635699999999947), MKC (24.382237999999997), UPS (28.098248000000048), ARE (30.66076399999991), BALL (32.20443600000005), APD (33.00051099999998), XEL (33.41224799999996), HON (33.62943699999998), CSCO (33.656370999999965), WEC (33.88934300000003)"
"CI: EG (27.49603999999999), TJX (36.24469999999999), BKNG (36.53606400000003), CBOE (41.02368300000008), CVX (43.029613), EXC (43.64404800000001), LMT (43.78135400000016), NOC (43.855119999999935), MNST (43.897874), GPC (43.998872999999946)"
"CINF: AIZ (24.68790399999999), SYK (28.050823), ICE (30.78656000000001), MCD (32.81599699999998), DTE (32.96758799999996), APD (33.341519000000005), YUM (33.45071699999998), V (34.281445000000005), ITW (34.887495), AOS (35.057090000000066)"
"CTAS: MSI (22.462708000000045), MSFT (24.048553999999985), TT (24.88211199999993), INTU (25.580368000000004), AJG (28.72421999999998), PGR (29.550540000000023), CPRT (30.123797000000124), DHI (30.667788999999967), ODFL (30.91338399999995), KEYS (31.87652299999999)"
"CSCO: ARE (26.189657000000032), BALL (26.81160599999997), YUM (29.120204999999935), SYY (31.576375999999968), DTE (33.57423599999993), CHD (33.656370999999965), CCI (34.04398999999995), ATO (34.420433), LNT (34.71852800000005), HON (34.84482399999999)"
