Ticker and DTW Values Below 50
"MMM: MMM, FE, MO, CPB, DD, IP, C, MTB"
"AOS: AOS, SBUX, CFG, CINF, YUM, LKQ, EXC, BKNG, PFE, ZION, AIZ"
"ATO: ATO, CMS, AEE, WEC, AEP, WMT, NI, MDLZ, LNT, XEL, EVRG"
"ADSK: ADSK, ZTS, KEYS, CDW, BIO, GRMN, ISRG, CRL, TECH, ADBE, INTU"
"ADP: ADP, WM, APH, AON, PAYX, LIN, MMC, J, WRB, FAST, ITW"
"AZO: AZO, ORLY, HCA, LIN, ORCL, ABBV, WRB, MMC, RJF, ADI, RSG"
"AVB: AVB, EQR, KO, ESS, DUK, MDT, UDR, WY, USB, WELL, PM"
"AVY: AVY, NDAQ, IQV, HD, NKE, GOOGL, GOOG, ACN, META, NVR, MCO"
"AXON: AXON, GNRC, ODFL, KLAC, DXCM, FTNT, EPAM, MPWR, MTCH, AMAT, MSFT"
BKR: BKR
"BALL: BALL, CSCO, BAX, ARE, CCI, COO, YUM, CHD, APD, HON, EXPD"
"BAC: BAC, IEX, ABT, CSX, NSC, CE, PAYX, JPM, DOV, HLT, UNP"
"BK: BK, USB, PRU, ESS, RTX, L, CTSH, AMCR, MTB, SJM, WY"
BBWI: BBWI
"BAX: BAX, BALL, MKC, LNT, XEL, WEC, CHD, ARE, ES, CSCO, COO"
"BDX: BDX, ETR, ECL, WTW, JNJ, CMS, WEC, PEG, XEL, ES, PG"
"BRK-B: BRK-B, EXC, CB, XEL, DGX, CMS, LNT, PFE, WTW, WEC, LH"
"BBY: BBY, MCHP, RSG, NVR, LIN, GRMN, ACN, SHW, CRM, ROL, PLD"
"BIO: BIO, TECH, CRL, RMD, TMO, DPZ, PLD, ZTS, DHR, ACN, GRMN"
"TECH: TECH, BIO, KEYS, CRL, ZTS, BX, GOOG, DPZ, ISRG, DHR, INTU"
BIIB: BIIB
"BLK: BLK, TROW, ROK, APH, ITW, EBAY, WAT, TEL, CPT, JBHT, J"
"BX: BX, KEYS, CRL, TECH, ZTS, TT, MOH, AAPL, DE, BIO, INTU"
BA: BA
"BKNG: BKNG, EXC, CB, BRK-B, LMT, MAR, PKG, CI, CBOE, PFE, AOS"
"BWA: BWA, BEN"
"BXP: BXP, FRT, UHS"
"BSX: BSX, CME, VRSK, LMT, HUM, SRE, CINF, CNC, AEE, ROP, ATO"
"BMY: BMY, OMC"
"AVGO: AVGO, SNPS, CDNS, ON, KLAC, ANET, LLY, PWR, ODFL, AJG, CPRT"
"BR: BR, RSG, ADP, IQV, AON, WM, STE, ITW, XYL, MCD, MMC"
"BRO: BRO, PLD, COST, NDAQ, ACN, ZTS, UNH, RSG, EL, GOOGL, TMO"
"BF-B: BF-B, JNJ, ECL, EVRG, ES, O, ALLE, PFE, NI, LNT, BAX"
"BG: BG, PXD, KR, XOM, REGN, NWSA, MET"
"CDNS: CDNS, SNPS, AVGO, KLAC, CPRT, ANET, ODFL, PWR, ON, GNRC, MPWR"
"CZR: CZR, ALGN, LRCX, MSCI, IDXX, INTU, MTCH, POOL, CPRT, MSFT, GNRC"
"CPT: CPT, MAA, EXPD, FDS, PAYX, AME, ICE, BLK, CBRE, AXP, PNC"
"CPB: CPB, MO, MMM, K, DD, EIX"
"COF: COF, DFS, TEL, GS, LH, PNR, JBHT, APTV, CMI, IPG, JCI"
CAH: CAH
"KMX: KMX, SWKS, COF, NXPI, ILMN, EMR, GM, JCI, WMT, TEL, CMI"
CCL: CCL
"CTLT: CTLT, TT, SPGI, TECH, TGT, A, RMD, CRL, DHR, ZTS, TMO"
"CAT: CAT, PH, MSI, UNH, HCA, CHTR, RJF, DHI, LIN, TT, ETN"
"CBOE: CBOE, LMT, TJX, NOC, MAR, MRK, BKNG, WRB, AFL, CI, EXC"
"CBRE: CBRE, NKE, MLM, PAYX, CPT, AME, DOV, SCHW, J, FITB, APH"
"CDW: CDW, ZTS, BRO, MSI, RMD, EW, KEYS, ADSK, TECH, INTU, GOOG"
"CE: CE, PNC, IEX, JPM, MAS, BAC, CPT, VRSK, DGX, AXP, KDP"
"COR: COR, ADM, KR, GPC, MRK, F"
"CNC: CNC, YUM, SRE, DGX, BSX, SYK, CINF, EXC, MAR, CSCO, ZION"
"CNP: CNP, PEG, GL, GD, DUK, RTX, KO, ED, TFC, ALL, HAS"
"CF: CF, COP, HES, FCX"
"CHRW: CHRW, TRV, GD, L, HIG, PEG, STZ, PPG, MDT, KO, DUK"
"CRL: CRL, BIO, ZTS, TECH, BX, INTU, KEYS, TT, MKTX, RMD, GRMN"
"SCHW: SCHW, HPQ, FITB, RJF, CBRE, ROK, ITW, GEN, APH, BLK, EXR"
"CHTR: CHTR, ANSS, TMUS, NDAQ, MCO, NVR, HD, TYL, A, SHW, SPGI"
"CVX: CVX, PFG, GPC, AFL, HSY, EG, PSA, BRK-B, JBHT, TJX, PKG"
"CMG: CMG, NEM, AMP, TSCO, GRMN, AZO, CSGP, TT, PH, ETN, RMD"
"CB: CB, BRK-B, PFE, EXC, LH, PEP, MDLZ, BKNG, DGX, VMC, MET"
"CHD: CHD, PG, MKC, UPS, ARE, BALL, APD, XEL, HON, CSCO, WEC"
"CI: CI, EG, TJX, BKNG, CBOE, CVX, EXC, LMT, NOC, MNST, GPC"
"CINF: CINF, AIZ, SYK, ICE, MCD, DTE, APD, YUM, V, ITW, AOS"
"CTAS: CTAS, MSI, MSFT, TT, INTU, AJG, PGR, CPRT, DHI, ODFL, KEYS"
"CSCO: CSCO, ARE, BALL, YUM, SYY, DTE, CHD, CCI, ATO, LNT, HON"
"C: C, VFC, USB, IP, MMM"
"CFG: CFG, PNC, KEY, MGM, ZION, RF, AXP, AOS, MAR, LH, CE"
"CLX: CLX, AEP, FIS, CMCSA, ETR, SBUX, ATO, CMS, EVRG, AMGN, MDLZ"
"CME: CME, VRSK, SBAC, V, MKC, ICE, LHX, ROP, BSX, AMT, ABT"
"CMS: CMS, WEC, LNT, XEL, AEP, ATO, ETR, BRK-B, AEE, ES, WMT"
"KO: KO, DUK, ESS, AVB, ED, MDT, UDR, PEG, EQR, O, FE"
"CTSH: CTSH, BK, D, LYB, REG, K, IP, MO, EQR, VZ, PEAK"
"CL: CL, IFF, VZ, CTSH"
"CMCSA: CMCSA, WTW, ALL, HON, PEG, UDR, PFE, EMR, SWK, ALLE, DTE"
"CMA: CMA, YUM, NTAP, CFG, SYY, ZION"
"CAG: CAG, PM, MTB, K, KO, L, D"
"COP: COP, CF, ADM, IRM, HES, ORCL, AZO, PCAR, HUBB, ORLY, MOS"
"ED: ED, NI, KO, PEG, AEP, DUK, GL, AMGN, ATO, SO, ETR"
"STZ: STZ, SO, GD, PEG, YUM, SWK, SBUX, DTE, CHD, CSCO, CHRW"
"COO: COO, ARE, HON, YUM, BALL, UNP, DGX, LNT, WTW, AEE, APD"
"CPRT: CPRT, SNPS, MSFT, KLAC, ODFL, CDNS, MPWR, AVGO, CTAS, FTNT, ANET"
"GLW: GLW, EMR, KEY, YUM, HON, CE, DTE, ALL, ARE, PNC, TFC"
"CSGP: CSGP, TT, ANSS, A, SPGI, RMD, ACN, UNH, ZTS, CTLT, TMUS"
"COST: COST, PLD, BRO, ACN, NDAQ, TMO, TXN, UNH, DHR, RSG, WM"
CTRA: CTRA
"CCI: CCI, MKC, ROP, DLR, AEE, VRSK, ARE, APD, EXPD, SBAC, AMT"
"CSX: CSX, NSC, TXN, WM, BAC, DOV, STE, J, NEE, ABT, NDSN"
"CMI: CMI, DGX, WMT, UNP, GS, AES, COF, PKG, TEL, ITW, LH"
CVS: CVS
"DHR: DHR, TMO, ACN, PLD, GOOGL, GOOG, A, COST, UNH, SPGI, NDAQ"
"DRI: DRI, PAYX, WRB, ADP, AON, MCD, BR, SYK, AME, HLT, AFL"
"DVA: DVA, NWS, AKAM, NWSA, PPG"
"DE: DE, CRL, BX, ZTS, TECH, BIO, PLD, TT, MSI, MOH, CDW"
DAL: DAL
XRAY: XRAY
"DVN: DVN, TRGP, MOS"
"DXCM: DXCM, MPWR, ODFL, MSFT, WST, POOL, FTNT, MTCH, PODD, GNRC, MSCI"
"FANG: FANG, PFG, EOG"
"DLR: DLR, PAYX, IEX, CCI, ITW, ABT, FDS, VRSK, AME, AMT, ICE"
"DFS: DFS, COF, LH, TEL, FITB, AXP, JBHT, CMI, CPT, APTV, MGM"
"DG: DG, VRSK, SBAC, EXR, V, AWK, ADI, ABT, STE, AMT, TYL"
"DLTR: DLTR, HIG, MET, TRV, CB, BRK-B, AMGN, CI"
"D: D, KMB, CTSH, VZ, HSIC, AMCR, K, EQR, CAG, T"
"DPZ: DPZ, TMO, BIO, MTD, ACN, TECH, ISRG, DHR, PLD, KEYS, A"
"DOV: DOV, MCO, J, WM, AON, IQV, PAYX, NDSN, STE, HD, ADP"
"DHI: DHI, TT, ETN, IT, CTAS, CAT, ACN, ZTS, PH, URI, TECH"
"DTE: DTE, PEG, SO, ALL, PEP, LNT, YUM, WTW, PG, TRV, AEP"
"DUK: DUK, KO, ESS, MDT, AVB, PEG, JNJ, TRV, NI, ED, UDR"
"DD: DD, MO, MMM, MTB, CPB, CTSH"
"EMN: EMN, UDR, FDX, LKQ, EXPE, NTRS, EMR, TRV, FFIV, PEG, HIG"
"ETN: ETN, IT, PH, DHI, PHM, AJG, NUE, LIN, HUBB, ORLY, MSI"
"EBAY: EBAY, BLK, ROK, EXR, NKE, TROW, LEN, J, EFX, WAT, CCI"
"ECL: ECL, ES, BF-B, BDX, MDT, EVRG, O, JNJ, PG, ESS, ETR"
"EIX: EIX, K, CPB"
"EW: EW, ZTS, COST, PLD, ACN, CDW, SPGI, BRO, RMD, CRL, NDAQ"
"EA: EA, ALLE, LNT, CSCO, SYY, ROST, XEL, KO"
"ELV: ELV, MMC, LIN, APH, SHW, ADI, ADP, RSG, IQV, COST, AON"
"LLY: LLY, FICO, AVGO, PWR, STLD, ON, SNPS, ANET, CDNS"
"EMR: EMR, GLW, KEY, ALL, CMCSA, PFE, TRV, HON, SWK, UDR, LH"
"ENPH: ENPH, NVDA, AMD"
"ETR: ETR, AEP, CMS, EVRG, LNT, BDX, ES, GL, XEL, WTW, KO"
"EOG: EOG, PXD, PFG, FANG"
"EPAM: EPAM, MPWR, GNRC, FTNT, IDXX, MSFT, MSCI, ODFL, MTCH, PODD, POOL"
EQT: EQT
"EFX: EFX, MLM, BLK, TROW, EBAY, MAA, J, JCI, PAYX, FDS, CBRE"
"EQIX: EQIX, AWK, ACN, EXR, NEE, MA, AMT, MTD, A, NDAQ, DHR"
"EQR: EQR, AVB, ESS, KO, PM, USB, DUK, FE, WELL, MDT, RTX"
"ESS: ESS, KO, EQR, AVB, DUK, MDT, PM, RTX, BK, UDR, O"
"EL: EL, ACN, IQV, NDAQ, BRO, SPGI, PLD, MCO, TXN, ZTS, SHW"
"EG: EG, CI, TJX, EXC, CVX, AFL, GPC, PFG, MRK, BRK-B, VMC"
"EVRG: EVRG, LNT, NI, ETR, CMS, AEP, JNJ, BF-B, ATO, O, ALL"
"ES: ES, ECL, JNJ, CMS, ETR, WTW, BF-B, PFE, XEL, PG, LNT"
"EXC: EXC, BRK-B, AXP, CB, PKG, DGX, TJX, BKNG, SRE, VMC, UNP"
"EXPE: EXPE, EMN, MGM, KEY, HIG, AOS, LKQ, EMR, SYF, WY, CFG"
"EXPD: EXPD, TEL, ICE, CPT, AME, ARE, FDS, APH, ROP, WAT, PAYX"
"EXR: EXR, LOW, ACN, EQIX, NDAQ, NKE, GOOGL, HD, NEE, FAST, AVY"
"XOM: XOM, PXD, BG, GIS, MCK"
"FFIV: FFIV, LKQ, HIG, FDX, CHRW, GD, CMCSA, EMN, UDR, TRV, EMR"
"FDS: FDS, PAYX, CPT, EXPD, AME, ICE, IEX, FAST, DOV, DLR, NKE"
"FICO: FICO, LLY, PWR, AVGO, ON, SNPS, ANET, CDNS, STLD"
"FAST: FAST, PAYX, SHW, ADP, MAA, AON, AWK, ROK, APH, EXR, NKE"
"FRT: FRT, BXP, WFC, SPG, PPL, UHS"
"FDX: FDX, EMN, FFIV, DIS, WY, HBAN, IP, L, LKQ, TXT"
"FIS: FIS, CLX, APD, ROST, INTC, FI, SBUX, ALL, HON, ARE, BAX"
"FITB: FITB, SCHW, HPQ, TEL, CBRE, AME, DFS, HLT, APH, EXPD, PKG"
FSLR: FSLR
"FE: FE, KO, WELL, RTX, EQR, MMM, ESS, DUK, MDT, MTB, ETR"
"FI: FI, TFX, VRSK, DLR, WEC, AMT, ROP, AWK, XEL, ALLE, ROST"
"FLT: FLT, GL, ETR, O, HOLX, PNW, AEP"
"FMC: FMC, UNP, PKG, SBAC, ITW, ELV, HPQ, HLT, ROP, HUM, PAYX"
"F: F, COR, ADM, MOS, WMT"
"FTNT: FTNT, ODFL, MPWR, EPAM, MSFT, LRCX, AMAT, KLAC, GNRC, MSCI, PODD"
"BEN: BEN, BWA"
"FCX: FCX, NRG, CF"
"GRMN: GRMN, A, PLD, ACN, ZTS, TMO, CRL, SHW, BIO, MSI, DHR"
"IT: IT, ETN, DHI, NUE, DE, TT, LIN, MSI, COST, AJG, CRL"
"GEN: GEN, SCHW, AXP, AES, CBRE, BLK, FITB, ITW, HPQ, JBHT, RHI"
"GNRC: GNRC, MPWR, EPAM, FTNT, ODFL, MTCH, MSCI, KLAC, PAYC, LRCX, MSFT"
"GD: GD, TRV, PEG, NTRS, STZ, UDR, PRU, CHRW, CNP, SO, MDLZ"
GE: GE
"GIS: GIS, KR, SNA, MDLZ, REGN, PEP, PFE, PFG, XOM, CVX"
"GM: GM, PNR, GS, MET, CMI, LH, PFE, TEL, HOLX, NWS, MGM"
"GPC: GPC, CVX, PSA, MNST, SNA, SRE, PFG, PEP, ADM, EG, MDLZ"
GILD: GILD
"GPN: GPN, CRM, LDOS, TFX, TMUS, ROL, XYL, GRMN, CTLT, DG, V"
"GL: GL, PEG, CNP, AEP, ETR, NI, SO, DTE, ED, GD, TFC"
"GS: GS, PNR, LH, COF, TEL, APTV, CMI, MET, JBHT, SWKS, RHI"
HAL: HAL
"HIG: HIG, TRV, PEG, CB, TFC, DTE, CHRW, LKQ, FFIV, CMCSA, DUK"
"HAS: HAS, CNP, RTX, KO"
"HCA: HCA, AZO, RJF, LIN, ADI, ACN, TRMB, SHW, ABBV, CAT, HD"
"PEAK: PEAK, CTSH"
"HSIC: HSIC, AMCR, SJM, D, KMB, L, REG"
"HSY: HSY, ORCL, WRB, PCAR, AFL, CVX, LIN, MCD, MMC, HUM, RSG"
"HES: HES, CF, COP, HUBB, IRM, MCK, HSY"
"HLT: HLT, AME, UNP, PAYX, AXP, APH, ADP, NSC, AES, ROK, AON"
"HOLX: HOLX, XEL, WEC, CMS, PEP, ALLE, VMC, BRK-B, CHD, MNST, LNT"
"HD: HD, NDAQ, SHW, IQV, ADI, RSG, AVY, DOV, LOW, MCO, TMUS"
"HON: HON, ALL, COO, SBUX, CMCSA, YUM, ARE, APD, LNT, JPM, ALLE"
"HRL: HRL, DUK, BDX, KO, PEG, ES, CMCSA, O, BF-B, WTW, JNJ"
"HST: HST, WAB"
"HPQ: HPQ, SCHW, FITB, RJF, APH, RVTY, ROK, BLK, CBRE, ITW, HLT"
"HUBB: HUBB, GWW, ACGL, PHM, ETN, AZO, ORLY, NUE, ORCL, PCAR, HSY"
"HUM: HUM, ITW, TJX, AFL, NOC, ADP, AME, WRB, WMT, PAYX, MMC"
"HBAN: HBAN, TFC, NTRS, PRU, GD, HIG, EMN, BK, L, CNP, RTX"
"HII: HII, FIS"
"IBM: IBM, OMC, SJM, L, RTX"
"IEX: IEX, ROP, SYK, CE, PAYX, ICE, ABT, FDS, V, DLR, JPM"
"IDXX: IDXX, INTU, EPAM, MSCI, POOL, ADBE, MPWR, TER, MSFT, NOW, ZBRA"
"ITW: ITW, APH, PAYX, MCD, ADP, UNP, ABT, SYK, ROK, BLK, AIZ"
"ILMN: ILMN, KMX, BKNG, AES, UNP, HON, MAR, CFG, APD, AXP, PKG"
INCY: INCY
"PODD: PODD, EPAM, MPWR, POOL, MSFT, MSCI, FTNT, AMAT, IDXX, NOW, ODFL"
"INTC: INTC, FIS, ROST, WMT, HOLX, APD, ALLE, FI, SO, ETR, EVRG"
"ICE: ICE, ARE, EXPD, IEX, FDS, CPT, YUM, ROP, PAYX, SYK, AEE"
"IFF: IFF, CL"
"IP: IP, LYB, TXT, STT, WY, ESS, RTX, L, CTSH, BK, CHRW"
"IPG: IPG, PSA, JCI, UPS, COF, PG, PEP, HOLX, APTV, CHD, XEL"
"INTU: INTU, KEYS, POOL, IDXX, AAPL, MSFT, WST, CRL, ADBE, ZBRA, AMZN"
"ISRG: ISRG, KEYS, TECH, ZTS, DPZ, DHR, RMD, INTU, CRL, GOOG, BIO"
IVZ: IVZ
"IQV: IQV, EL, ADI, HD, TXN, SHW, DOV, AON, AVY, MAA, PAYX"
"IRM: IRM, ORCL, PCAR, ADM, COP, AZO, ORLY, LEN, MRK, PH, HSY"
"JBHT: JBHT, TEL, LH, ARE, APTV, PSA, BLK, CPT, WMT, RHI, PKG"
"JKHY: JKHY, VRSK, SYK, ROP, ATO, MCD, CME, AEE, V, ITW, FI"
"J: J, DOV, PAYX, ADP, NSC, WM, ABT, LOW, NDSN, VRSK, AON"
"JNJ: JNJ, WTW, PEG, ES, NI, DUK, BF-B, EVRG, BDX, MDLZ, PEP"
"JCI: JCI, NXPI, UPS, RHI, IPG, APTV, PSA, COF, BLK, JBHT, EFX"
"JPM: JPM, CE, IEX, ARE, BAC, YUM, CPT, ROP, ICE, HON, KDP"
"JNPR: JNPR, OMC, SEE, SJM, WY, AVB, EQR, PPG"
"K: K, CAG, CTSH, D, T, MO, CPB, EIX, PPL"
"KDP: KDP, IEX, MCD, SYK, ICE, NSC, ABT, V, FDS, STE, VRSK"
"KEY: KEY, CFG, EMR, MGM, GLW, ZION, PFE, BKNG, EXPE, MET, HIG"
"KEYS: KEYS, INTU, TECH, BX, CRL, ISRG, ZTS, LULU, CDW, ADSK, ADBE"
"KMB: KMB, D, VZ, AMCR, HSIC, AVB"
"KIM: KIM, AIG"
KMI: KMI
"KLAC: KLAC, SNPS, ODFL, CPRT, CDNS, MSFT, FTNT, AVGO, MPWR, ANET, ON"
"KR: KR, GIS, BG, COR, REGN"
"LHX: LHX, V, AON, SYK, CME, SHW, STE, BR, WRB, MCD, APH"
"LH: LH, TEL, JBHT, PFE, GS, COF, PNC, DFS, CB, DGX, VMC"
"LRCX: LRCX, AMAT, FTNT, TER, MSCI, MPWR, MSFT, ODFL, NOW, POOL, IDXX"
LVS: LVS
"LDOS: LDOS, DG, V, ROL, ADI, CRM, MMC, NKE, ADP, MA, GPN"
"LEN: LEN, EBAY, ADM, IRM, NXPI, TJX, EFX, JCI, AME, AMP, GEN"
"LIN: LIN, MMC, RSG, ADP, ACN, ELV, PH, COST, AZO, ADI, HCA"
"LYV: LYV, PLD, RMD, ZTS, IQV, EL, TMO, NDAQ, BRO, UNH, GRMN"
"LKQ: LKQ, CB, HIG, FFIV, AOS, PNR, EMN, LH, VMC, MGM, SYF"
"LMT: LMT, TJX, BKNG, CBOE, BSX, EXC, AFL, MAR, PAYX, WRB, FDS"
"L: L, RTX, AMCR, OMC, PRU, CHRW, DUK, KO, BK, PPG, SJM"
"LOW: LOW, EXR, HD, J, GOOGL, ACN, WM, AWK, SHW, NDAQ, GOOG"
"LULU: LULU, ADBE, KEYS, INTU, IDXX, NOW, CTAS, TER, ODFL, EPAM, ISRG"
"LYB: LYB, IP, WY, CTSH, BK, PM, L, STT, AMCR, SJM, PRU"
"MTB: MTB, CAG, BK, FE, USB, KO, WELL, ESS, CNP, DD, PRU"
"MRO: MRO, TRGP"
"MPC: MPC, ACGL, COP"
"MKTX: MKTX, CRL, INTU, BIO, TECH, ADBE, CSGP, MSFT, TT, ADSK, MPWR"
"MAR: MAR, PNC, UNP, EXC, BKNG, ZION, DRI, CFG, AFL, LMT, CBOE"
"MMC: MMC, RSG, LIN, WRB, SHW, ADI, ACN, ADP, ELV, AON, COST"
"MLM: MLM, ROK, AME, PAYX, CBRE, NKE, TROW, BLK, ADI, HLT, CPT"
"MAS: MAS, PAYX, ITW, IEX, CE, ROP, ICE, DLR, AME, CPT, DGX"
"MA: MA, TDY, TMO, ANSS, ACN, COST, EQIX, NEE, EL, MTD, NDAQ"
"MTCH: MTCH, EPAM, GNRC, FTNT, MPWR, MSFT, MSCI, IDXX, ODFL, NOW, LRCX"
"MKC: MKC, CCI, CHD, AEE, CME, ROP, ICE, XEL, UPS, SYK, VRSK"
"MCD: MCD, SYK, WM, AIZ, ITW, STE, ADP, BR, KDP, VRSK, MMC"
"MCK: MCK, MOS, HES, XOM"
"MDT: MDT, DUK, KO, AVB, ESS, ECL, CHRW, CMCSA, PPG, ALLE, EQR"
"MRK: MRK, PCAR, ADM, SRE, EXC, IRM, CBOE, TJX, BKNG, GPC, EG"
"META: META, AVY, CRM, ACN, DHR, NVR, HD, IQV, A, TXN, NDAQ"
"MET: MET, PNR, GS, CB, GM, LH, PFG, BRK-B, COF, PXD, CMI"
"MTD: MTD, TMO, ACN, A, DHR, PLD, UNH, SPGI, GOOG, DPZ, RMD"
"MGM: MGM, CFG, KEY, PNC, DFS, TEL, LH, SWK, AOS, MET, EXPE"
"MCHP: MCHP, BBY, NVR, AVY, UNH, TRMB, CHTR, A, ADI, RSG, IQV"
"MU: MU, CDW"
"MSFT: MSFT, ODFL, MSCI, MPWR, POOL, FTNT, EPAM, CPRT, WST, INTU, NOW"
"MAA: MAA, SHW, PAYX, NDAQ, CPT, IQV, ADP, FAST, DOV, WM, AON"
MHK: MHK
"MOH: MOH, BX, TECH, ZTS, TT, RMD, KEYS, CRL, DE, BIO, AAPL"
TAP: TAP
"MDLZ: MDLZ, PEP, SO, SRE, PSA, CB, TRV, PEG, ATO, CMS, PG"
"MPWR: MPWR, MSCI, ODFL, GNRC, MSFT, EPAM, FTNT, POOL, WST, IDXX, LRCX"
"MNST: MNST, GPC, VMC, PEP, SO, PSA, SRE, AMGN, WMT, HOLX, MDLZ"
"MCO: MCO, SPGI, NDAQ, DOV, SHW, TGT, WM, NEE, A, EL, COST"
"MS: MS, AMP, TRMB, RJF, DOV, CBRE, TSCO, SBAC, LOW, STX, SHW"
"MOS: MOS, MCK, F, COP, DVN"
"MSI: MSI, CTAS, ACN, UNH, RSG, CDW, PLD, TT, GRMN, ZTS, KEYS"
"MSCI: MSCI, MPWR, WST, MSFT, IDXX, EPAM, POOL, AMZN, LRCX, ADBE, PODD"
"NDAQ: NDAQ, ACN, PLD, BRO, COST, A, GOOGL, MCO, EL, HD, GOOG"
"NTAP: NTAP, RF, ZION, CMA, CSX, NSC, MCO, UNP, DOV, CFG, HLT"
"NFLX: NFLX, ISRG, ADBE, LULU, EPAM, CDW, MSCI, ADSK, KEYS, AMZN, TER"
"NEM: NEM, PH, ORLY, AZO, AMP, CMG, ORCL, CAT, IRM, A, MOH"
"NWSA: NWSA, PNR, COF, NWS, GS, GM, DVA, BG"
"NWS: NWS, DVA, PNR, NWSA, GM, MET, EMN, LKQ"
"NEE: NEE, WM, AWK, MCO, STE, ACN, EQIX, ANSS, NDAQ, EXR, COST"
"NKE: NKE, AVY, EXR, PAYX, FAST, AME, CBRE, WAT, MLM, NDAQ, FDS"
"NI: NI, ED, EVRG, JNJ, DUK, ATO, AEP, GL, LNT, BF-B, AMGN"
