Ticker and Top 10 Smallest DTW Values
"MMM: IFF (64.59623699999999), LUV (64.86370299999994), C (66.637784), SEE (67.8945220000002), USB (69.87554999999999), D (72.63510799999996), IP (75.76776599999985), HAS (81.93592299999982), MDT (83.92115999999997), DIS (85.9885260000003)"
"ALGN: CZR (47.06533800000011), ZBRA (76.03953700000008), EPAM (85.56695700000003), NFLX (86.4186310000001), GNRC (91.41642800000008), MKTX (93.06309700000004), CRL (94.707009), TER (103.82616900000004), BIO (106.126823), MTCH (108.89513099999994)"
"ALLE: COO (43.56514699999997), AEP (44.77342599999999), DTE (48.57797099999998), CMCSA (48.84773499999999), LNT (49.63674199999994), LH (50.27930700000002), DGX (50.58757200000007), ECL (50.62075799999993), SBUX (50.702565000000014), JKHY (50.711975999999936)"
"LNT: CMS (21.652401999999952), XEL (29.57388500000002), WEC (30.184933000000044), AEP (30.321669999999973), DTE (30.997486999999968), AEE (32.26092799999996), EVRG (34.183521999999975), ETR (37.24108199999995), EXC (38.65317499999988), HON (40.670512)"
"ALL: SRE (37.437375000000046), HON (39.34797600000003), EMR (41.83525900000005), SO (42.09151499999994), WTW (43.32554500000005), CHD (43.53681500000014), DTE (43.85120600000016), PEG (44.68071700000002), CB (45.70545000000008), LNT (46.42828100000008)"
"GOOGL: GOOG (7.2341899999999875), ACN (31.12027299999996), SPGI (33.557772999999955), MCO (34.12719399999991), EQIX (34.87457699999998), LOW (38.57411000000007), TMUS (39.19459399999995), NVR (39.57568800000004), ISRG (39.843479), BRO (39.91589100000001)"
"GOOG: GOOGL (7.2341899999999875), ACN (32.12633), SPGI (33.069166), MCO (34.189409000000055), EQIX (36.46055300000002), TMUS (37.44061200000001), ISRG (37.64119299999992), NVR (38.797438999999926), LOW (40.55244199999997), BRO (40.76966699999996)"
"MO: REG (56.59414899999978), CPB (57.7706859999999), K (58.96907000000013), PPL (59.51870699999995), HST (63.5977379999999), CAG (73.44592100000021), EIX (74.74553899999991), PNW (75.98840099999998), IBM (78.02636499999994), FE (79.79786699999971)"
"AMZN: INTU (36.131339), WST (39.79471000000003), ADBE (43.05732699999999), MSCI (45.28922699999997), TTWO (45.72279199999996), ISRG (46.81361299999999), IDXX (46.92569600000003), ZTS (47.00903499999996), POOL (48.24832599999999), NOW (49.83328699999996)"
"AMCR: HSIC (45.35741400000006), VZ (51.190566999999874), SJM (51.19919299999999), BK (56.74624699999984), CHRW (57.655608999999984), RTX (58.382025000000034), PRU (58.41202099999994), D (63.44832700000013), ZBH (63.90369000000007), KMB (63.91589400000005)"
"AEE: XEL (25.43912399999995), ATO (30.62001399999997), LNT (32.26092799999996), WEC (33.20121999999996), CMS (33.380022000000075), MRK (39.569331000000005), DTE (40.69549700000015), AEP (40.72657199999984), SYY (42.450217), PEP (42.62488600000006)"
"AAL: NCLH (65.58149799999998), CCL (77.77331999999997), VFC (98.98891900000004), PCG (112.65840999999996), MHK (126.78388600000012), WBA (127.74750699999974), VTRS (141.52330099999998), INCY (149.04658400000008), GE (152.69698899999992), WDC (159.0818870000001)"
"AEP: CMS (24.317064000000045), ETR (28.493772999999976), LNT (30.321669999999973), EVRG (32.14012200000002), WEC (34.55398999999996), DTE (36.53665400000005), BF-B (38.45845700000009), AEE (40.72657199999984), O (40.94368999999988), NI (41.52705099999997)"
"AXP: UNP (31.304879999999912), EXC (32.59350300000003), TEL (33.80845199999995), HLT (37.85231699999992), NSC (39.40432400000016), EXPD (40.613723999999934), DGX (40.747004), CVX (41.75424099999996), CMI (43.49600099999995), YUM (44.85354699999996)"
"AIG: REG (62.90691000000006), IBM (68.9877319999999), KIM (72.18413599999991), HSIC (76.78679599999995), WAB (80.35139099999996), MO (83.29421499999995), CTRA (87.75513199999983), WFC (88.82903500000006), WMB (91.62263200000048), OXY (92.20713200000036)"
"AMT: SBAC (31.91792500000003), EXR (38.43083899999997), CCI (40.26609800000001), AWK (40.32683299999999), DLR (42.788698999999966), JKHY (43.04245300000002), ABT (43.16899799999989), HSY (44.827477000000016), NEE (48.77344400000008), MAA (49.10096900000013)"
"AWK: HD (36.35498199999997), ABT (36.423186999999984), A (37.744989999999966), NEE (38.10185999999998), NSC (38.21415999999997), MCO (38.84664000000002), SHW (39.22770000000003), LHX (39.45908200000001), IQV (39.4899529999999), DHR (39.70071000000003)"
"AMP: MS (39.80560999999997), AZO (40.933253999999984), TSCO (43.17886699999996), PH (44.1538970000001), IRM (45.06897799999994), ADI (45.33713200000004), ACGL (45.70413499999994), FAST (45.88628800000003), LIN (46.257435000000086), GWW (46.51192699999982)"
"AME: APH (27.46404900000001), MLM (30.688657000000024), HLT (31.47052099999996), ITW (31.575302999999977), VRSK (31.605951999999988), AFL (33.10465800000008), FDS (34.848571999999976), EXPD (36.243266000000006), PKG (36.35687900000001), AON (36.86233600000004)"
"AMGN: ED (41.05727599999986), PEG (42.74632799999993), PG (42.895833000000046), CB (45.84536700000004), BDX (46.03993799999998), JNJ (46.22538699999996), WTW (46.64172299999995), NI (47.21226599999994), SO (48.06241700000005), BRK-B (48.46389299999999)"
"APH: AME (27.46404900000001), ADP (29.43756899999998), AFL (29.60853000000005), ITW (30.77850100000003), ADI (31.859513999999944), V (31.91320799999996), AON (32.151061), MMC (32.217882999999986), FAST (33.024072999999944), HLT (35.36819800000003)"
"ADI: TMUS (31.36356499999996), APH (31.859513999999944), AON (33.20404), MMC (33.44468399999997), ROL (33.80148900000003), RSG (35.51037600000001), BR (36.30300999999999), V (37.01277699999994), AZO (37.43203200000002), NDSN (37.59118299999994)"
"ANSS: CSGP (35.99594400000005), TYL (36.30816399999995), MCO (38.35681500000002), A (39.57877800000001), PLD (40.55550699999999), SHW (40.79315999999992), ACN (41.22830899999997), SPGI (42.23144099999995), ZTS (45.99734599999997), HD (46.520978000000056)"
"AON: TMUS (28.358168000000017), ADP (31.59992599999996), APH (32.151061), FAST (32.53156200000007), V (32.59603499999999), WRB (33.10711699999999), ADI (33.20404), WM (34.302901999999925), RSG (34.74214299999994), J (35.670602999999815)"
"APA: HAL (72.0078589999999), SLB (78.63709899999989), EQT (82.85552700000002), IVZ (94.04576999999996), VTR (94.83876100000012), BEN (97.21946300000006), BKR (98.04817300000003), DD (106.81674799999982), SPG (107.25074099999988), GE (109.578485)"
"AAPL: AJG (32.27567300000001), MSFT (36.49893500000003), PGR (36.68701500000009), ODFL (39.234063), CDW (44.75050800000001), LRCX (44.7991900000001), LLY (44.88642799999993), AMAT (46.78648999999999), PWR (46.846698999999965), STLD (46.872216)"
"AMAT: LRCX (28.97996400000003), MSFT (38.079877000000025), NOW (39.56024000000005), KLAC (42.17888799999992), AXON (43.33769599999993), MPWR (43.49529899999995), WST (44.187882000000016), AAPL (46.78648999999999), ODFL (47.60518800000009), LULU (47.80076099999994)"
"APTV: SWKS (42.589629), COF (43.72389900000008), EBAY (47.087834), FITB (49.05990499999996), TROW (51.55599700000001), SCHW (52.45500899999993), RHI (53.69586199999995), PNC (53.817282000000034), NKE (54.55865499999992), GM (57.41535899999983)"
"ACGL: ORLY (34.796552999999946), AZO (35.54171499999999), HUBB (37.127766), ABBV (39.02166200000005), GWW (45.38182600000002), AMP (45.70413499999994), FAST (47.56114899999998), LIN (48.014691), RSG (48.87819099999986), ORCL (49.09177800000001)"
"ADM: SRE (42.017520000000026), EXC (48.31821800000001), MRK (48.68873500000003), COP (49.71293699999995), GPC (50.55715299999997), JCI (50.62468500000004), WEC (51.53343899999999), JBHT (51.68454099999986), RJF (52.39874400000007), UNP (52.40923299999983)"
"ANET: SNPS (33.287190000000045), AVGO (37.635928000000014), CDNS (38.692964000000046), KLAC (41.30057599999997), MSFT (48.85582300000016), CPRT (50.80750799999996), LLY (53.073822), MPWR (54.78846800000007), STLD (55.356424000000125), FICO (57.29839800000003)"
"AJG: PGR (25.778498999999965), CTAS (28.716098999999968), MSI (29.25031800000006), AAPL (32.27567300000001), ETN (34.342982000000056), PWR (37.73408900000004), LLY (37.74203499999994), UNH (40.87807299999994), CDW (41.15884999999992), DE (41.35915900000002)"
"AIZ: ITW (38.99194499999996), MAS (39.28842599999995), CINF (39.97411299999993), DOV (40.22815699999994), SYK (40.39959399999994), EQIX (41.35858300000005), AOS (43.32382099999994), STE (44.89664000000012), HSY (44.97922899999999), UNP (45.856450999999886)"
"T: PPL (64.88925499999988), CTSH (69.90971899999985), D (70.08098899999989), PNW (71.54913199999991), K (71.56575200000013), CAG (72.21425699999993), EQR (73.41122299999971), CPB (75.23543900000004), IFF (81.57787400000002), VZ (85.82370099999996)"
"ATO: AEE (30.62001399999997), WMT (39.57328499999996), APD (40.36879200000001), ITW (40.604855999999934), NI (42.01206699999998), FI (42.479973000000015), MDLZ (42.57278700000008), WEC (42.74067399999992), MRK (42.92927499999997), CMS (43.55646600000005)"
"ADSK: GRMN (37.70388400000005), TECH (42.15287799999997), KEYS (43.80377300000001), DPZ (45.29039699999995), EW (45.43185600000012), POOL (48.16485000000001), ZTS (49.63509299999998), INTU (50.18645799999992), BBY (51.16936600000008), A (53.380989999999976)"
"ADP: APH (29.43756899999998), PAYX (30.13331700000004), AON (31.59992599999996), J (32.91547899999998), WRB (33.17692600000004), WM (35.27400599999996), ITW (35.638958999999986), ROL (35.726473999999946), FAST (35.871730000000035), STE (36.33496499999993)"
"AZO: ORLY (24.65286700000001), LIN (35.12541499999995), ACGL (35.54171499999999), TMUS (36.55318199999988), AON (37.10113999999997), ADI (37.43203200000002), HUBB (37.45018599999998), ABBV (38.60374899999986), RSG (40.75013200000009), WM (40.92097)"
"AVB: EQR (22.870634999999947), ESS (39.03998599999997), MDT (41.652656999999984), UDR (43.97025699999987), WY (48.14544699999993), PPG (50.68415600000005), BK (54.366015), WELL (57.47552599999994), JNPR (57.777606000000056), FE (58.92093499999997)"
"AVY: NDAQ (33.01215899999996), HD (37.04774000000002), MCO (37.256193), DOV (37.87004599999999), DHR (39.010313000000096), SPGI (39.362336999999975), TMO (40.06527799999992), ACN (40.166119000000045), PAYX (40.439932999999925), GOOGL (40.512239999999935)"
"AXON: AMAT (43.33769599999993), LRCX (51.05524699999983), KLAC (51.30658199999991), ODFL (51.78382700000004), MSFT (55.400914999999934), CPRT (56.983581), URI (57.04795499999994), AVGO (57.16440499999997), CDNS (59.531422999999954), STLD (59.66761700000001)"
"BKR: SLB (69.74794200000018), BWA (69.88504400000022), EQT (74.25317099999992), BEN (81.01899999999992), SPG (87.21658400000022), OXY (90.99941799999992), WFC (94.63622900000011), HAL (97.02068399999996), APA (98.04817300000003), WMB (107.04520899999956)"
"BALL: CCI (37.06769800000007), ARE (39.12562100000002), BAX (45.17519800000011), SBAC (49.84479999999994), EBAY (50.17050399999994), INTC (58.964654), CPT (61.50443099999991), TFX (61.90120999999989), NKE (63.29117300000006), MAA (63.945780000000006)"
"BAC: PNC (41.7529449999999), WAT (44.126077000000045), MAA (45.51836399999993), CBRE (45.86497199999981), CPT (45.87643899999999), NKE (48.27366899999992), RF (49.42383800000017), GEN (49.47298399999998), ABT (50.021944000000026), IQV (50.98059300000008)"
"BK: CTSH (49.119912999999926), WY (52.530505000000026), PRU (53.128151000000045), AVB (54.366015), RTX (54.59935099999984), SJM (54.63208299999994), ESS (56.27326599999999), EQR (56.35514299999992), AMCR (56.74624699999984), MTB (57.25860399999996)"
"BBWI: SEE (88.14506699999995), MOS (92.9333669999999), WYNN (95.0625180000002), MHK (103.8178279999997), DVN (116.74826200000014), IVZ (117.75298099999998), ALK (117.92743200000022), APA (127.45422999999978), EXPE (133.60068399999994), EQT (136.80688100000006)"
"BAX: FIS (38.79037600000001), BALL (45.17519800000011), ARE (46.362996), CCI (47.559579999999976), TFX (63.161111), INTC (63.22803999999984), PFE (66.21608200000003), SWKS (71.27569000000004), EBAY (72.477184), KMX (72.64704299999985)"
"BDX: WTW (41.35267799999996), PEG (44.89385999999996), JNJ (45.56663600000006), ETR (45.593151999999975), AMGN (46.03993799999998), WEC (46.66294599999995), PG (47.55527400000002), PEP (49.74795199999993), XEL (50.014365000000126), CMS (50.07095799999984)"
"BRK-B: CB (33.353707000000064), EXC (37.906644), EG (40.58398299999997), WMT (43.38244800000007), CMI (43.69755699999989), WTW (43.87420199999996), CI (44.3297989999999), EXPD (44.347020999999984), MRK (44.670389000000114), PKG (44.93685699999989)"
"BBY: GRMN (46.00904199999994), ADSK (51.16936600000008), CRM (51.27624199999998), TECH (51.88937600000006), PLD (52.380915), EW (53.147535000000005), EL (53.23524099999997), DPZ (54.54042800000001), EXR (54.65534000000007), TRMB (56.497653000000064)"
"BIO: CRL (26.01700400000001), TECH (32.08413899999997), MKTX (33.12492100000009), RMD (42.2096539999999), ZBRA (45.617975000000015), EL (49.88864300000013), EW (49.99779399999997), NEM (54.35316600000011), CTLT (56.31346799999999), TRMB (56.78010599999995)"
"TECH: BIO (32.08413899999997), EW (38.20950600000002), DPZ (41.97326000000005), ADSK (42.15287799999997), KEYS (43.61751999999999), CRL (43.97273000000004), RMD (44.58742799999999), GRMN (45.32029699999997), POOL (45.37662199999991), A (47.22360299999998)"
"BIIB: WBA (101.65821000000004), WHR (111.07466999999976), BXP (111.51832900000022), XRAY (112.48601999999984), WYNN (116.3550019999998), IP (116.58042699999991), KMI (120.22587899999972), SEE (120.73469100000004), INCY (126.20536899999976), USB (126.87003899999998)"
"BLK: HD (37.93061399999994), EFX (39.15358899999997), TEL (39.614313), CBRE (40.17185400000003), ROK (41.11669000000009), WAT (41.21504399999999), HPQ (42.43289799999995), UNP (44.176778999999975), JCI (44.59456099999997), DOV (44.67352699999999)"
"BX: ZTS (34.42256300000009), INTU (34.52132099999997), TT (41.03035999999993), KEYS (42.40621999999999), GRMN (43.833578000000045), CSGP (44.54011899999987), SPGI (46.54695199999999), PLD (47.14147), WST (47.450405999999965), DPZ (48.07555399999996)"
"BA: TFX (65.01769600000004), CHTR (76.95303899999995), QRVO (81.71639600000005), GPN (87.91163099999974), CCI (91.37766899999964), NEM (91.87644700000008), KMX (93.2026940000003), ARE (94.14578499999992), WYNN (95.20377299999986), TROW (96.5991289999996)"
"BKNG: TJX (47.23780699999991), CI (47.34213899999995), CBOE (47.91129400000012), LMT (49.72071600000008), CB (52.608247999999904), AOS (54.53718600000011), MAR (55.227399999999975), HON (56.46707500000005), EG (57.2628559999998), PKG (58.284734999999976)"
"BWA: BEN (57.16433100000006), BKR (69.88504400000022), HST (78.48685099999996), RL (84.04728400000012), WAB (86.40747500000043), TPR (92.4742260000004), STT (96.59956200000023), CTSH (96.75272999999994), GILD (97.2295500000002), LYB (97.60632999999991)"
"BXP: XRAY (72.227831), MMM (89.62021999999999), IFF (89.85033500000002), IVZ (94.90090300000011), PEAK (95.06761599999982), LUV (101.13646599999946), WBA (110.95228800000014), BIIB (111.51832900000022), HAS (112.39332799999988), DAL (113.01935600000012)"
"BSX: VRSK (41.87624200000015), AEE (44.932139), HUM (46.95457399999999), LMT (47.36887300000009), IRM (47.83389099999989), CME (48.78166700000003), TJX (50.59769200000004), ROP (50.98892799999988), AME (51.13291599999984), AFL (51.32426299999989)"
"BMY: OMC (53.3722440000001), JNPR (63.04706800000016), IP (65.28461600000003), SJM (66.54805999999985), IBM (67.45308400000008), WY (71.47180199999988), VZ (72.94065100000007), CTSH (73.06509299999999), AMCR (76.17644899999978), PEAK (77.01840799999987)"
"AVGO: LLY (24.327782000000028), SNPS (26.241723999999977), CDNS (31.81136400000001), KLAC (37.19586100000013), ANET (37.635928000000014), CPRT (37.831989), PWR (38.13310699999996), PGR (40.96477599999996), ON (42.050337000000006), FICO (43.49049199999992)"
"BR: BRO (33.651774), ITW (35.38859300000004), MMC (35.695688999999966), STE (36.13862699999997), ADI (36.30300999999999), RSG (36.37036699999993), ROL (37.49525399999993), V (38.70727599999997), TMUS (39.126745000000014), DRI (40.516690999999945)"
"BRO: COST (24.68751699999999), RSG (27.38803699999999), MA (31.857733), CDW (33.439362999999965), TMUS (33.60034500000007), BR (33.651774), MMC (34.186736000000025), ROL (36.26560100000007), GOOGL (39.91589100000001), V (39.99034699999994)"
"BF-B: AEP (38.45845700000009), O (38.76473200000003), EVRG (39.13407499999997), NI (42.06075800000003), SO (45.44812500000002), WEC (45.81377800000004), XEL (46.008722999999904), MKC (46.76436399999999), LNT (46.858059999999966), ES (46.98512099999997)"
"BG: PXD (46.765329), XOM (51.00458900000013), AKAM (56.46575500000005), NWSA (58.671112999999934), MET (60.11085099999985), KR (60.340084000000125), GS (61.48996300000004), NWS (61.849668), REGN (62.374593), CVX (65.54553100000001)"
"CDNS: SNPS (16.161416999999986), CPRT (28.82190399999996), KLAC (30.18717400000004), AVGO (31.81136400000001), LLY (33.86730499999996), ANET (38.692964000000046), PWR (40.68312099999992), FICO (47.20885500000003), MSFT (50.77565600000008), ON (51.49132399999999)"
"CZR: ALGN (47.06533800000011), ZBRA (62.00062699999992), EPAM (76.60154100000001), CRL (82.50853200000005), MKTX (90.48285599999996), TSLA (91.62530099999996), NFLX (93.06568900000008), MTCH (95.94977999999998), CTLT (96.19640599999973), PAYC (96.29411200000014)"
"CPT: MAA (30.832044999999997), WAT (40.74243599999995), NKE (41.20370899999993), PNC (42.133647), TROW (42.45398199999997), CCI (45.33022599999993), BAC (45.87643899999999), ARE (46.04409700000002), CBRE (46.47729600000001), PSA (48.29196300000003)"
"CPB: K (46.89114399999996), MO (57.7706859999999), CTSH (59.01206800000003), PPL (62.862078000000025), EIX (66.08293800000014), CAG (66.71124600000022), HST (67.60366600000002), SJM (68.3093910000001), FRT (74.45083500000005), T (75.23543900000004)"
"COF: RHI (43.20880499999996), APTV (43.72389900000008), FITB (53.23054699999998), SWKS (56.609894999999945), GM (58.06704800000008), CPT (59.07306400000012), DFS (59.40082699999992), PSA (59.60817499999999), CLX (59.88429100000005), PNC (60.29988700000005)"
"CAH: KR (67.770214), REGN (70.52482499999988), BG (73.13962200000006), CTRA (78.0530360000001), WY (81.93476800000008), AKAM (87.80379700000015), GIS (91.05017599999996), COR (98.14431499999972), XOM (99.26342100000016), NWSA (101.12538899999996)"
"KMX: SWKS (51.908567999999846), KEY (58.246943999999935), FIS (62.170282000000064), GM (62.222955000000034), QRVO (64.49385099999986), AES (65.39421500000019), CPT (65.62538699999993), COF (66.17482000000004), ILMN (66.64449099999993), CFG (67.59823700000017)"
"CCL: PCG (60.44030700000004), AAL (77.77331999999997), VFC (105.4812909999997), NCLH (116.59614300000004), MHK (131.51438600000012), VTRS (149.7390179999996), UAL (183.49110499999995), LUV (189.3296040000001), GE (196.81670200000008), FIS (207.1483090000002)"
"CTLT: EL (51.47456700000002), CRL (54.77457700000004), BIO (56.31346799999999), ZBRA (64.68712499999992), TECH (66.44436299999988), TGT (68.96156999999998), MKTX (69.43711100000021), CHTR (70.21194499999984), RMD (70.33435300000002), ALB (71.66424200000009)"
"CAT: HCA (37.84550499999997), PH (38.53622799999997), MSI (42.20345300000008), TDY (44.68334000000005), LIN (45.03703099999998), TT (45.93857500000005), MCHP (46.22485799999989), SPGI (49.160521), EQIX (49.488455000000016), RJF (49.508312000000096)"
"CBOE: TJX (41.41821899999994), ORCL (42.15417100000002), LMT (44.97556799999989), MAR (46.31118600000009), AFL (46.92660499999993), BKNG (47.91129400000012), MRK (48.67031600000002), MCD (54.32700700000006), NOC (54.46055600000003), CB (56.14272799999997)"
"CBRE: NKE (39.75404800000004), BLK (40.17185400000003), DOV (42.37126100000007), SHW (42.714804999999984), WAT (43.19713800000002), HPQ (44.71021600000012), EFX (45.180972), MAA (45.858064999999954), ABT (45.86165099999999), BAC (45.86497199999981)"
"CDW: BRO (33.439362999999965), MSI (38.1614569999999), PGR (38.43585899999996), AJG (41.15884999999992), MOH (42.82083400000004), ROL (42.87739699999992), DE (42.97109400000002), TDG (43.06076399999996), AAPL (44.75050800000001), RSG (46.05979699999988)"
"CE: AIZ (46.29397600000005), DLR (47.78395500000008), XYL (51.873660999999984), MAS (52.53937500000001), BAC (52.608377), LH (54.048995000000126), PNC (54.55404100000008), CPT (54.80839699999991), RF (55.46585300000002), NSC (56.30586700000001)"
"COR: PG (45.30844400000003), WMT (48.314610999999935), MNST (49.59522999999986), SO (54.910318999999895), ADM (54.934355000000046), MDLZ (55.26583300000006), BRK-B (55.9371829999998), MRK (56.08688099999993), PEP (56.22032700000002), WTW (56.60354999999979)"
"CNC: DGX (50.67316100000003), AIZ (55.14297300000014), UNP (56.65401700000005), CINF (57.49575399999991), AXP (58.19157099999986), JKHY (58.66757600000011), COO (60.013904), MKC (61.05546500000002), NSC (61.52180900000014), AOS (63.392952999999984)"
"CNP: DUK (41.42802900000008), PEG (43.30919100000008), GL (45.24319599999991), KO (46.42170900000006), GD (47.74823799999993), ED (48.81356900000008), WTW (49.80521200000006), RTX (50.53301200000009), SRE (51.13305300000005), JNJ (52.30557599999996)"
"CF: STX (53.55817300000004), FCX (61.64567899999995), QCOM (62.13693599999991), COP (69.95665300000005), FSLR (76.53059300000017), QRVO (77.566757), MS (78.68465199999984), BX (79.98282600000022), UNP (80.15516299999992), GRMN (80.55733)"
"CHRW: DUK (48.964894999999984), PEG (51.743766999999984), TRV (52.74773000000009), UDR (52.88383600000007), DTE (53.287737000000014), L (54.44927299999995), GD (56.24159900000007), MDT (56.52331299999992), EMN (56.61567399999989), JNJ (56.83996300000001)"
"CRL: BIO (26.01700400000001), MKTX (32.90956300000008), ZBRA (39.06453599999996), RMD (40.87460499999988), TECH (43.97273000000004), EL (53.15334499999999), CTLT (54.77457700000004), TRMB (55.595551999999984), CHTR (58.64197200000001), EPAM (59.16876499999995)"
"SCHW: FITB (40.233550999999935), GEN (46.92373500000001), HPQ (48.97336999999999), EXR (51.61288100000005), AES (52.230082999999865), APTV (52.45500899999993), CPT (52.61259600000002), BAC (52.98491100000007), WAT (53.03495999999991), CBRE (53.53876699999993)"
"CHTR: TFX (47.37700300000003), RVTY (47.57462199999992), TGT (47.88956599999995), EXR (47.98432499999992), TRMB (48.01611600000001), EL (52.227714999999975), DG (52.25312899999994), GPN (53.149160000000016), TROW (55.43294700000003), NEM (55.61613999999994)"
"CVX: JBHT (38.756213), AXP (41.75424099999996), GPC (42.22405000000007), CMI (44.18323899999992), PFG (45.34563400000003), PAYX (47.55365400000007), PEP (48.417096000000015), APH (48.6876750000001), HSY (49.00722200000011), DGX (49.48586599999989)"
"CMG: AMP (49.00911499999994), TT (55.34214499999993), CSGP (55.93204699999997), ETN (57.63496600000008), ORLY (58.327728999999934), MCO (58.34532399999995), LIN (58.76483299999995), AZO (58.92595700000005), PH (60.29832400000009), GWW (61.34807199999994)"
"CB: BRK-B (33.353707000000064), HIG (40.16818399999992), MDLZ (41.179665999999926), PEP (41.92051400000006), SRE (43.842248999999846), CI (44.291260999999935), EG (44.37993300000003), CMI (44.52342999999991), EXC (44.57233499999988), ALL (45.70545000000008)"
"CHD: PG (31.73396899999993), APD (38.94417799999991), HON (39.21797200000005), CSCO (40.89526600000002), STZ (43.04103900000004), FI (43.52334200000005), ALL (43.53681500000014), WTW (43.92109599999996), SBUX (44.272104), WEC (44.42603800000016)"
"CI: EG (36.2915350000001), LH (43.45726899999992), EXC (44.045957), TJX (44.229912000000006), CB (44.291260999999935), BRK-B (44.3297989999999), DGX (45.98548700000004), EXPD (46.110600000000005), MNST (46.75424400000008), VMC (46.763062999999846)"
"CINF: AIZ (39.97411299999993), ICE (40.037631000000026), DTE (47.37113899999994), AWK (47.945171000000094), AOS (48.79788099999999), SBUX (49.72983199999999), AXP (50.38356199999998), IEX (50.9372070000001), JKHY (51.84430599999992), ABT (52.44578999999985)"
"CTAS: MSI (26.87609600000001), AJG (28.716098999999968), MSFT (30.92026899999997), PGR (31.97410100000003), TDG (33.05896699999994), TT (36.05040300000002), LULU (44.04448599999994), UNH (44.15582499999991), ODFL (44.68821299999995), PWR (45.182019)"
